round=10_full_repository_repeat
started_at=2026-06-16T11:50:34.7779830+08:00
ended_at=2026-06-16T11:50:50.8419803+08:00
duration_seconds=16.064
exit_code=0
--- output ---
ok  	solana_golang	0.666s
ok  	solana_golang/architecture	1.092s
ok  	solana_golang/blockchain	1.922s
ok  	solana_golang/cmd	2.210s
ok  	solana_golang/cmd/p2pstress	0.980s
ok  	solana_golang/cmd/posnode	1.197s
ok  	solana_golang/codec/borsh	0.979s
ok  	solana_golang/config	1.077s
ok  	solana_golang/consensus	0.981s
ok  	solana_golang/database	1.988s
ok  	solana_golang/database/leveldb	1.020s
ok  	solana_golang/database/pebble	1.429s
ok  	solana_golang/p2p	9.104s
ok  	solana_golang/p2p/peerstore	1.429s
ok  	solana_golang/programs/privacy	0.981s
ok  	solana_golang/programs/stake	0.980s
?   	solana_golang/programs/system	[no test files]
?   	solana_golang/programs/vm	[no test files]
ok  	solana_golang/rpc	1.117s
ok  	solana_golang/runtime	0.980s
ok  	solana_golang/schema	0.979s
ok  	solana_golang/structure	1.057s
ok  	solana_golang/utils	0.980s
ok  	solana_golang/vm	0.980s
ok  	solana_golang/zk	1.306s
